timekey,date,daynameweek,daynbmonth,monthnumber,monthname,quarter,semester,year
360,2015-08-08,Saturday ,8,8,August   ,3,2,2015
361,2016-02-08,Monday   ,8,2,February ,1,1,2016
362,2015-10-31,Saturday ,31,10,October  ,4,2,2015
363,2015-01-02,Friday   ,2,1,January  ,1,1,2015
364,2015-01-05,Monday   ,5,1,January  ,1,1,2015
365,2015-01-07,Wednesday,7,1,January  ,1,1,2015
366,2015-01-12,Monday   ,12,1,January  ,1,1,2015
367,2015-01-13,Tuesday  ,13,1,January  ,1,1,2015
368,2015-01-14,Wednesday,14,1,January  ,1,1,2015
369,2015-01-19,Monday   ,19,1,January  ,1,1,2015
370,2015-01-20,Tuesday  ,20,1,January  ,1,1,2015
371,2015-01-21,Wednesday,21,1,January  ,1,1,2015
372,2015-01-23,Friday   ,23,1,January  ,1,1,2015
373,2015-01-26,Monday   ,26,1,January  ,1,1,2015
374,2015-01-28,Wednesday,28,1,January  ,1,1,2015
375,2015-01-29,Thursday ,29,1,January  ,1,1,2015
376,2015-02-03,Tuesday  ,3,2,February ,1,1,2015
377,2015-02-06,Friday   ,6,2,February ,1,1,2015
378,2015-02-10,Tuesday  ,10,2,February ,1,1,2015
379,2015-02-11,Wednesday,11,2,February ,1,1,2015
380,2015-02-13,Friday   ,13,2,February ,1,1,2015
381,2015-02-20,Friday   ,20,2,February ,1,1,2015
382,2015-02-23,Monday   ,23,2,February ,1,1,2015
383,2015-02-25,Wednesday,25,2,February ,1,1,2015
384,2015-02-26,Thursday ,26,2,February ,1,1,2015
385,2015-01-06,Tuesday  ,6,1,January  ,1,1,2015
386,2015-01-09,Friday   ,9,1,January  ,1,1,2015
387,2015-02-09,Monday   ,9,2,February ,1,1,2015
388,2015-07-12,Sunday   ,12,7,July     ,3,2,2015
389,2015-10-10,Saturday ,10,10,October  ,4,2,2015
390,2016-01-10,Sunday   ,10,1,January  ,1,1,2016
391,2016-04-10,Sunday   ,10,4,April    ,2,1,2016
392,2015-11-08,Sunday   ,8,11,November ,4,2,2015
393,2015-12-08,Tuesday  ,8,12,December ,4,2,2015
394,2016-02-13,Saturday ,13,2,February ,1,1,2016
395,2016-01-09,Saturday ,9,1,January  ,1,1,2016
396,2016-02-09,Tuesday  ,9,2,February ,1,1,2016
397,2016-04-09,Saturday ,9,4,April    ,2,1,2016
398,2016-03-25,Friday   ,25,3,March    ,1,1,2016
399,2016-05-25,Wednesday,25,5,May      ,2,1,2016
400,2014-11-13,Thursday ,13,11,November ,4,2,2014
401,2016-06-11,Saturday ,11,6,June     ,2,1,2016
402,2016-07-22,Friday   ,22,7,July     ,3,2,2016
403,2016-07-25,Monday   ,25,7,July     ,3,2,2016
404,2016-07-28,Thursday ,28,7,July     ,3,2,2016
405,2016-07-29,Friday   ,29,7,July     ,3,2,2016
406,2016-08-01,Monday   ,1,8,August   ,3,2,2016
407,2016-07-26,Tuesday  ,26,7,July     ,3,2,2016
408,2016-08-02,Tuesday  ,2,8,August   ,3,2,2016
409,2016-08-05,Friday   ,5,8,August   ,3,2,2016
410,2016-08-09,Tuesday  ,9,8,August   ,3,2,2016
411,2016-08-12,Friday   ,12,8,August   ,3,2,2016
412,2016-03-20,Sunday   ,20,3,March    ,1,1,2016
413,2015-02-04,Wednesday,4,2,February ,1,1,2015
414,2016-04-02,Saturday ,2,4,April    ,2,1,2016
415,2016-05-28,Saturday ,28,5,May      ,2,1,2016
416,2014-11-07,Friday   ,7,11,November ,4,2,2014
